station_id,station_code
0,G0401L010430121
1,G0401L040430121
2,G0401L050430111
3,G0401L060430112
4,G0421L020430602
5,G0421L060430112
6,G0421L070430302
7,G0421L120430422
8,G0421L130430482
9,G0421L140431021
10,G0421L150431021
11,G0421L160431024
12,G0421L170431025
13,G0421L180431022
14,G0422L040430181
15,G0422L050430181
16,G0422L060430281
17,G0422L070430281
18,G0422L080430281
19,G0422L100430224
20,G0422L110430225
21,G0422L120431027
22,G0422L130431026
23,G0422L140431026
24,G4L010430682
25,G4L020430682
26,G4L030430681
27,G4L040430121
28,G4L050430121
29,G4L070430221
30,G4L080430424
31,G4L090430422
32,G4L100430481
33,G4L125431003
34,G4L130431022
35,G5513L010430112
36,G5513L011430112
37,G5513L012430124
38,G5513L013430124
39,G5513L016430124
40,G5513L018430903
41,G5513L019430903
42,G5513L020430902
43,G5513L030430722
44,G5513L050430725
45,G5513L060430821
46,G55L110430523
47,G55L120431103
48,G55L170431127
49,G56L001430682
50,G56L007430725
51,G56L030431222
52,G56L040433122
53,G56L050433101
54,G56L060433101
55,G6021L050430121
56,G60L007430304
57,G60L010430321
58,G60L020430381
59,G60L030431321
60,G60L040430521
61,G60L050430503
62,G60L060430524
63,G60L070430525
64,G65L010433124
65,G65L020433101
66,G65L030433123
67,G65L040431202
68,G65L050431221
69,G65L080431229
70,G65L100431230
71,G65L110431230
72,G72L002430224
73,G72L006430223
74,G72L008430424
75,G72L010430422
76,G72L030431121
77,G72L040431102
78,G76L020431026
79,G76L030431022
80,G76L050431024
81,G76L060431127
82,S10L020433127
83,S21L020430204
84,S41L010430112
85,S50L010430104
86,S50L040430381
87,S50L090431224
88,S50L110431202
89,S50L120431202
90,S52L010430281
91,S71L010430623
92,S71L050430903
93,S71L060430124
94,S71L090431321
95,S81L010431124
96,S91L020430581
97,S99L050433126
