ID,StationName,Lat,Lng,District,County,Type,ID2
1,43010101,28.0,110.0,Hunan,Unknown,TollStation,0
2,43010102,28.01,110.01,Hunan,Unknown,TollStation,1
3,43010204,28.02,110.02,Hunan,Unknown,TollStation,2
4,43010205,28.03,110.03,Hunan,Unknown,TollStation,3
5,43010305,28.04,110.04,Hunan,Unknown,TollStation,4
6,43010306,28.05,110.05,Hunan,Unknown,TollStation,5
7,43010307,28.06,110.06,Hunan,Unknown,TollStation,6
8,43010308,28.07,110.07,Hunan,Unknown,TollStation,7
9,43010309,28.08,110.08,Hunan,Unknown,TollStation,8
10,4301050A,28.09,110.09,Hunan,Unknown,TollStation,9
11,4301050B,28.1,110.1,Hunan,Unknown,TollStation,10
12,4301050C,28.11,110.11,Hunan,Unknown,TollStation,11
13,4301050D,28.12,110.12,Hunan,Unknown,TollStation,12
14,4301050E,28.13,110.13,Hunan,Unknown,TollStation,13
15,4301050F,28.14,110.14,Hunan,Unknown,TollStation,14
16,43010602,28.15,110.15,Hunan,Unknown,TollStation,15
17,43010603,28.16,110.16,Hunan,Unknown,TollStation,16
18,43010604,28.17,110.17,Hunan,Unknown,TollStation,17
19,43010705,28.18,110.18,Hunan,Unknown,TollStation,18
20,43010706,28.19,110.19,Hunan,Unknown,TollStation,19
21,43010707,28.2,110.2,Hunan,Unknown,TollStation,20
22,43010708,28.21,110.21,Hunan,Unknown,TollStation,21
23,43010709,28.22,110.22,Hunan,Unknown,TollStation,22
24,4301070A,28.23,110.23,Hunan,Unknown,TollStation,23
25,4301070B,28.24,110.24,Hunan,Unknown,TollStation,24
26,4301070C,28.25,110.25,Hunan,Unknown,TollStation,25
27,4301080D,28.26,110.26,Hunan,Unknown,TollStation,26
28,4301080E,28.27,110.27,Hunan,Unknown,TollStation,27
29,4301080F,28.28,110.28,Hunan,Unknown,TollStation,28
30,43010810,28.29,110.29,Hunan,Unknown,TollStation,29
31,43010811,28.3,110.3,Hunan,Unknown,TollStation,30
32,43010912,28.31,110.31,Hunan,Unknown,TollStation,31
33,43010A13,28.32,110.32,Hunan,Unknown,TollStation,32
34,43010A14,28.33,110.33,Hunan,Unknown,TollStation,33
35,43010A15,28.34,110.34,Hunan,Unknown,TollStation,34
36,43010A16,28.35,110.35,Hunan,Unknown,TollStation,35
37,43010B17,28.36,110.36,Hunan,Unknown,TollStation,36
38,43010B18,28.37,110.37,Hunan,Unknown,TollStation,37
39,43010B19,28.38,110.38,Hunan,Unknown,TollStation,38
40,43010B1A,28.39,110.39,Hunan,Unknown,TollStation,39
41,43010B1B,28.4,110.4,Hunan,Unknown,TollStation,40
42,43010C1C,28.41,110.41,Hunan,Unknown,TollStation,41
43,43010C1D,28.42,110.42,Hunan,Unknown,TollStation,42
44,43010C1E,28.43,110.43,Hunan,Unknown,TollStation,43
45,43010C1F,28.44,110.44,Hunan,Unknown,TollStation,44
46,43010D20,28.45,110.45,Hunan,Unknown,TollStation,45
47,43010E21,28.46,110.46,Hunan,Unknown,TollStation,46
48,43010E22,28.47,110.47,Hunan,Unknown,TollStation,47
49,43010E23,28.48,110.48,Hunan,Unknown,TollStation,48
50,43010E24,28.49,110.49,Hunan,Unknown,TollStation,49
51,43010E25,28.5,110.5,Hunan,Unknown,TollStation,50
52,43010E26,28.51,110.51,Hunan,Unknown,TollStation,51
53,43010F02,28.52,110.52,Hunan,Unknown,TollStation,52
54,43010F03,28.53,110.53,Hunan,Unknown,TollStation,53
55,43010F04,28.54,110.54,Hunan,Unknown,TollStation,54
56,43010F05,28.55,110.55,Hunan,Unknown,TollStation,55
57,43010F06,28.56,110.56,Hunan,Unknown,TollStation,56
58,43011007,28.57,110.57,Hunan,Unknown,TollStation,57
59,43011008,28.58,110.58,Hunan,Unknown,TollStation,58
60,43011009,28.59,110.59,Hunan,Unknown,TollStation,59
61,4301100A,28.6,110.6,Hunan,Unknown,TollStation,60
62,4301100B,28.61,110.61,Hunan,Unknown,TollStation,61
63,4301100C,28.62,110.62,Hunan,Unknown,TollStation,62
64,4301110D,28.63,110.63,Hunan,Unknown,TollStation,63
65,4301110E,28.64,110.64,Hunan,Unknown,TollStation,64
66,4301120E,28.65,110.65,Hunan,Unknown,TollStation,65
67,4301120F,28.66,110.66,Hunan,Unknown,TollStation,66
68,43011210,28.67,110.67,Hunan,Unknown,TollStation,67
69,43011211,28.68,110.68,Hunan,Unknown,TollStation,68
70,43011212,28.69,110.69,Hunan,Unknown,TollStation,69
71,43011213,28.7,110.7,Hunan,Unknown,TollStation,70
72,43011214,28.71,110.71,Hunan,Unknown,TollStation,71
73,43011215,28.72,110.72,Hunan,Unknown,TollStation,72
74,4301131A,28.73,110.73,Hunan,Unknown,TollStation,73
75,4301131B,28.74,110.74,Hunan,Unknown,TollStation,74
76,4301131C,28.75,110.75,Hunan,Unknown,TollStation,75
77,4301131D,28.76,110.76,Hunan,Unknown,TollStation,76
78,4301131E,28.77,110.77,Hunan,Unknown,TollStation,77
79,43011416,28.78,110.78,Hunan,Unknown,TollStation,78
80,43011417,28.79,110.79,Hunan,Unknown,TollStation,79
81,43011418,28.8,110.8,Hunan,Unknown,TollStation,80
82,43011419,28.81,110.81,Hunan,Unknown,TollStation,81
83,43011501,28.82,110.82,Hunan,Unknown,TollStation,82
84,43011502,28.83,110.83,Hunan,Unknown,TollStation,83
85,43011702,28.84,110.84,Hunan,Unknown,TollStation,84
86,43011703,28.85,110.85,Hunan,Unknown,TollStation,85
87,43011704,28.86,110.86,Hunan,Unknown,TollStation,86
88,43011705,28.87,110.87,Hunan,Unknown,TollStation,87
89,43011706,28.88,110.88,Hunan,Unknown,TollStation,88
90,43011707,28.89,110.89,Hunan,Unknown,TollStation,89
91,43011708,28.9,110.9,Hunan,Unknown,TollStation,90
92,43011809,28.91,110.91,Hunan,Unknown,TollStation,91
93,4301180A,28.92,110.92,Hunan,Unknown,TollStation,92
94,4301180C,28.93,110.93,Hunan,Unknown,TollStation,93
95,43011A0D,28.94,110.94,Hunan,Unknown,TollStation,94
96,43011A0F,28.95,110.95,Hunan,Unknown,TollStation,95
97,43011A10,28.96,110.96,Hunan,Unknown,TollStation,96
98,43011D1A,28.97,110.97,Hunan,Unknown,TollStation,97
99,43011E1B,28.98,110.98,Hunan,Unknown,TollStation,98
100,43011E1C,28.99,110.99,Hunan,Unknown,TollStation,99
101,43011E1D,29.0,111.0,Hunan,Unknown,TollStation,100
102,43011E1E,29.01,111.01,Hunan,Unknown,TollStation,101
103,43011E1F,29.02,111.02,Hunan,Unknown,TollStation,102
104,43011E20,29.03,111.03,Hunan,Unknown,TollStation,103
105,43011E21,29.04,111.04,Hunan,Unknown,TollStation,104
106,43011F02,29.05,111.05,Hunan,Unknown,TollStation,105
107,43011F03,29.06,111.06,Hunan,Unknown,TollStation,106
108,43011F04,29.07,111.07,Hunan,Unknown,TollStation,107
109,43011F05,29.08,111.08,Hunan,Unknown,TollStation,108
110,43011F06,29.09,111.09,Hunan,Unknown,TollStation,109
111,43011F07,29.1,111.1,Hunan,Unknown,TollStation,110
112,43011F08,29.11,111.11,Hunan,Unknown,TollStation,111
113,43012009,29.12,111.12,Hunan,Unknown,TollStation,112
114,4301200A,29.13,111.13,Hunan,Unknown,TollStation,113
115,4301200B,29.14,111.14,Hunan,Unknown,TollStation,114
116,4301200C,29.15,111.15,Hunan,Unknown,TollStation,115
117,4301200D,29.16,111.16,Hunan,Unknown,TollStation,116
118,4301200E,29.17,111.17,Hunan,Unknown,TollStation,117
119,4301210F,29.18,111.18,Hunan,Unknown,TollStation,118
120,43012110,29.19,111.19,Hunan,Unknown,TollStation,119
121,43012111,29.2,111.2,Hunan,Unknown,TollStation,120
122,43012112,29.21,111.21,Hunan,Unknown,TollStation,121
123,43012113,29.22,111.22,Hunan,Unknown,TollStation,122
124,43012114,29.23,111.23,Hunan,Unknown,TollStation,123
125,43012115,29.24,111.24,Hunan,Unknown,TollStation,124
126,43012316,29.25,111.25,Hunan,Unknown,TollStation,125
127,43012317,29.26,111.26,Hunan,Unknown,TollStation,126
128,43012318,29.27,111.27,Hunan,Unknown,TollStation,127
129,43012319,29.28,111.28,Hunan,Unknown,TollStation,128
130,4301231A,29.29,111.29,Hunan,Unknown,TollStation,129
131,4301241B,29.3,111.3,Hunan,Unknown,TollStation,130
132,4301241C,29.31,111.31,Hunan,Unknown,TollStation,131
133,4301241D,29.32,111.32,Hunan,Unknown,TollStation,132
134,4301241E,29.33,111.33,Hunan,Unknown,TollStation,133
135,4301241F,29.34,111.34,Hunan,Unknown,TollStation,134
136,43012420,29.35,111.35,Hunan,Unknown,TollStation,135
137,43012501,29.36,111.36,Hunan,Unknown,TollStation,136
138,43012502,29.37,111.37,Hunan,Unknown,TollStation,137
139,43012503,29.38,111.38,Hunan,Unknown,TollStation,138
140,43012504,29.39,111.39,Hunan,Unknown,TollStation,139
141,43012505,29.4,111.4,Hunan,Unknown,TollStation,140
142,43012506,29.41,111.41,Hunan,Unknown,TollStation,141
143,43012507,29.42,111.42,Hunan,Unknown,TollStation,142
144,43012508,29.43,111.43,Hunan,Unknown,TollStation,143
145,43012609,29.44,111.44,Hunan,Unknown,TollStation,144
146,4301260A,29.45,111.45,Hunan,Unknown,TollStation,145
147,4301260B,29.46,111.46,Hunan,Unknown,TollStation,146
148,4301260C,29.47,111.47,Hunan,Unknown,TollStation,147
149,4301260D,29.48,111.48,Hunan,Unknown,TollStation,148
150,4301260E,29.49,111.49,Hunan,Unknown,TollStation,149
151,4301270F,29.5,111.5,Hunan,Unknown,TollStation,150
152,43012710,29.51,111.51,Hunan,Unknown,TollStation,151
153,43012711,29.52,111.52,Hunan,Unknown,TollStation,152
154,43012712,29.53,111.53,Hunan,Unknown,TollStation,153
155,43012813,29.54,111.54,Hunan,Unknown,TollStation,154
156,43012814,29.55,111.55,Hunan,Unknown,TollStation,155
157,43012815,29.56,111.56,Hunan,Unknown,TollStation,156
158,43012816,29.57,111.57,Hunan,Unknown,TollStation,157
159,43012817,29.58,111.58,Hunan,Unknown,TollStation,158
160,43012901,29.59,111.59,Hunan,Unknown,TollStation,159
161,43012902,29.6,111.6,Hunan,Unknown,TollStation,160
162,43012903,29.61,111.61,Hunan,Unknown,TollStation,161
163,43012A02,29.62,111.62,Hunan,Unknown,TollStation,162
164,43012A03,29.63,111.63,Hunan,Unknown,TollStation,163
165,43012B04,29.64,111.64,Hunan,Unknown,TollStation,164
166,43012C05,29.65,111.65,Hunan,Unknown,TollStation,165
167,43012E06,29.66,111.66,Hunan,Unknown,TollStation,166
168,43012E07,29.67,111.67,Hunan,Unknown,TollStation,167
169,43012E08,29.68,111.68,Hunan,Unknown,TollStation,168
170,43012E09,29.69,111.69,Hunan,Unknown,TollStation,169
171,43012E0A,29.7,111.7,Hunan,Unknown,TollStation,170
172,43012E0B,29.71,111.71,Hunan,Unknown,TollStation,171
173,43012E0C,29.72,111.72,Hunan,Unknown,TollStation,172
174,43012F0D,29.73,111.73,Hunan,Unknown,TollStation,173
175,43012F0E,29.74,111.74,Hunan,Unknown,TollStation,174
176,4301300F,29.75,111.75,Hunan,Unknown,TollStation,175
177,43013010,29.76,111.76,Hunan,Unknown,TollStation,176
178,43013011,29.77,111.77,Hunan,Unknown,TollStation,177
179,43013012,29.78,111.78,Hunan,Unknown,TollStation,178
180,43013013,29.79,111.79,Hunan,Unknown,TollStation,179
181,43013014,29.8,111.8,Hunan,Unknown,TollStation,180
182,43013015,29.81,111.81,Hunan,Unknown,TollStation,181
