ID,StationName,Lat,Lng,District,County,Type,ID2
1,中方,28.0,110.0,Hunan,Unknown,TollStation,0
2,临武,28.01,110.01,Hunan,Unknown,TollStation,1
3,乐安铺,28.02,110.02,Hunan,Unknown,TollStation,2
4,九龙江,28.03,110.03,Hunan,Unknown,TollStation,3
5,云龙,28.04,110.04,Hunan,Unknown,TollStation,4
6,仙子脚,28.05,110.05,Hunan,Unknown,TollStation,5
7,会同,28.06,110.06,Hunan,Unknown,TollStation,6
8,伞铺,28.07,110.07,Hunan,Unknown,TollStation,7
9,余田,28.08,110.08,Hunan,Unknown,TollStation,8
10,八面山,28.09,110.09,Hunan,Unknown,TollStation,9
11,关山,28.1,110.1,Hunan,Unknown,TollStation,10
12,冠市,28.11,110.11,Hunan,Unknown,TollStation,11
13,凤凰,28.12,110.12,Hunan,Unknown,TollStation,12
14,凤凰西,28.13,110.13,Hunan,Unknown,TollStation,13
15,北盛,28.14,110.14,Hunan,Unknown,TollStation,14
16,华容,28.15,110.15,Hunan,Unknown,TollStation,15
17,南县西,28.16,110.16,Hunan,Unknown,TollStation,16
18,南江,28.17,110.17,Hunan,Unknown,TollStation,17
19,友仁,28.18,110.18,Hunan,Unknown,TollStation,18
20,双峰西,28.19,110.19,Hunan,Unknown,TollStation,19
21,双江,28.2,110.2,Hunan,Unknown,TollStation,20
22,古港,28.21,110.21,Hunan,Unknown,TollStation,21
23,吉首东,28.22,110.22,Hunan,Unknown,TollStation,22
24,吉首南,28.23,110.23,Hunan,Unknown,TollStation,23
25,嘉禾,28.24,110.24,Hunan,Unknown,TollStation,24
26,回龙圩,28.25,110.25,Hunan,Unknown,TollStation,25
27,塔岭,28.26,110.26,Hunan,Unknown,TollStation,26
28,大忠桥,28.27,110.27,Hunan,Unknown,TollStation,27
29,大水,28.28,110.28,Hunan,Unknown,TollStation,28
30,大荆,28.29,110.29,Hunan,Unknown,TollStation,29
31,姚家坝,28.3,110.3,Hunan,Unknown,TollStation,30
32,娄底,28.31,110.31,Hunan,Unknown,TollStation,31
33,宁乡,28.32,110.32,Hunan,Unknown,TollStation,32
34,宁远,28.33,110.33,Hunan,Unknown,TollStation,33
35,宁远东,28.34,110.34,Hunan,Unknown,TollStation,34
36,宁远西,28.35,110.35,Hunan,Unknown,TollStation,35
37,官庄,28.36,110.36,Hunan,Unknown,TollStation,36
38,寨市,28.37,110.37,Hunan,Unknown,TollStation,37
39,小塘,28.38,110.38,Hunan,Unknown,TollStation,38
40,岐山,28.39,110.39,Hunan,Unknown,TollStation,39
41,岐山互通东,28.4,110.4,Hunan,Unknown,TollStation,40
42,岭秀,28.41,110.41,Hunan,Unknown,TollStation,41
43,岳阳东,28.42,110.42,Hunan,Unknown,TollStation,42
44,崀山,28.43,110.43,Hunan,Unknown,TollStation,43
45,常宁,28.44,110.44,Hunan,Unknown,TollStation,44
46,平和,28.45,110.45,Hunan,Unknown,TollStation,45
47,平江,28.46,110.46,Hunan,Unknown,TollStation,46
48,廉桥,28.47,110.47,Hunan,Unknown,TollStation,47
49,开慧,28.48,110.48,Hunan,Unknown,TollStation,48
50,张坊,28.49,110.49,Hunan,Unknown,TollStation,49
51,张家界西,28.5,110.5,Hunan,Unknown,TollStation,50
52,心田,28.51,110.51,Hunan,Unknown,TollStation,51
53,怀化东,28.52,110.52,Hunan,Unknown,TollStation,52
54,怀化北,28.53,110.53,Hunan,Unknown,TollStation,53
55,怀化南,28.54,110.54,Hunan,Unknown,TollStation,54
56,怀化西,28.55,110.55,Hunan,Unknown,TollStation,55
57,慈利西,28.56,110.56,Hunan,Unknown,TollStation,56
58,接履桥,28.57,110.57,Hunan,Unknown,TollStation,57
59,攸县,28.58,110.58,Hunan,Unknown,TollStation,58
60,教字垭,28.59,110.59,Hunan,Unknown,TollStation,59
61,新化,28.6,110.6,Hunan,Unknown,TollStation,60
62,新塘,28.61,110.61,Hunan,Unknown,TollStation,61
63,新晃,28.62,110.62,Hunan,Unknown,TollStation,62
64,星城,28.63,110.63,Hunan,Unknown,TollStation,63
65,朝阳,28.64,110.64,Hunan,Unknown,TollStation,64
66,朱溪,28.65,110.65,Hunan,Unknown,TollStation,65
67,李家塘,28.66,110.66,Hunan,Unknown,TollStation,66
68,杨山,28.67,110.67,Hunan,Unknown,TollStation,67
69,杨梓冲,28.68,110.68,Hunan,Unknown,TollStation,68
70,松木塘,28.69,110.69,Hunan,Unknown,TollStation,69
71,松柏,28.7,110.7,Hunan,Unknown,TollStation,70
72,板衫,28.71,110.71,Hunan,Unknown,TollStation,71
73,枣木铺,28.72,110.72,Hunan,Unknown,TollStation,72
74,栗山塘,28.73,110.73,Hunan,Unknown,TollStation,73
75,株洲北,28.74,110.74,Hunan,Unknown,TollStation,74
76,桃林,28.75,110.75,Hunan,Unknown,TollStation,75
77,桃源,28.76,110.76,Hunan,Unknown,TollStation,76
78,桃花江,28.77,110.77,Hunan,Unknown,TollStation,77
79,榔梨,28.78,110.78,Hunan,Unknown,TollStation,78
80,檀山咀,28.79,110.79,Hunan,Unknown,TollStation,79
81,武冈西,28.8,110.8,Hunan,Unknown,TollStation,80
82,毛田,28.81,110.81,Hunan,Unknown,TollStation,81
83,永州北,28.82,110.82,Hunan,Unknown,TollStation,82
84,江口,28.83,110.83,Hunan,Unknown,TollStation,83
85,沅陵,28.84,110.84,Hunan,Unknown,TollStation,84
86,河洑,28.85,110.85,Hunan,Unknown,TollStation,85
87,泉交河,28.86,110.86,Hunan,Unknown,TollStation,86
88,泥江口,28.87,110.87,Hunan,Unknown,TollStation,87
89,泸溪,28.88,110.88,Hunan,Unknown,TollStation,88
90,洞井,28.89,110.89,Hunan,Unknown,TollStation,89
91,洞口,28.9,110.9,Hunan,Unknown,TollStation,90
92,洪市,28.91,110.91,Hunan,Unknown,TollStation,91
93,洪江,28.92,110.92,Hunan,Unknown,TollStation,92
94,流峰,28.93,110.93,Hunan,Unknown,TollStation,93
95,涟源,28.94,110.94,Hunan,Unknown,TollStation,94
96,湘乡,28.95,110.95,Hunan,Unknown,TollStation,95
97,湘潭,28.96,110.96,Hunan,Unknown,TollStation,96
98,溆浦,28.97,110.97,Hunan,Unknown,TollStation,97
99,炎陵,28.98,110.98,Hunan,Unknown,TollStation,98
100,炎陵西,28.99,110.99,Hunan,Unknown,TollStation,99
101,热市,29.0,111.0,Hunan,Unknown,TollStation,100
102,燕塘,29.01,111.01,Hunan,Unknown,TollStation,101
103,田庄,29.02,111.02,Hunan,Unknown,TollStation,102
104,界化垄,29.03,111.03,Hunan,Unknown,TollStation,103
105,皇图岭,29.04,111.04,Hunan,Unknown,TollStation,104
106,益将,29.05,111.05,Hunan,Unknown,TollStation,105
107,益阳北,29.06,111.06,Hunan,Unknown,TollStation,106
108,矮寨,29.07,111.07,Hunan,Unknown,TollStation,107
109,石埠,29.08,111.08,Hunan,Unknown,TollStation,108
110,砰山,29.09,111.09,Hunan,Unknown,TollStation,109
111,社港,29.1,111.1,Hunan,Unknown,TollStation,110
112,祝融,29.11,111.11,Hunan,Unknown,TollStation,111
113,祠堂圩,29.12,111.12,Hunan,Unknown,TollStation,112
114,简家坳,29.13,111.13,Hunan,Unknown,TollStation,113
115,红旗,29.14,111.14,Hunan,Unknown,TollStation,114
116,羊楼司,29.15,111.15,Hunan,Unknown,TollStation,115
117,耒阳,29.16,111.16,Hunan,Unknown,TollStation,116
118,良田,29.17,111.17,Hunan,Unknown,TollStation,117
