日期,站点名称,事件描述
2023/9/1,Ningyuan East,Special Event: Peak traffic flow after holiday
2023/9/1,Yueyang East,Special Event: Traffic control due to road construction
2023/9/1,Dongkou,Special Event: Traffic congestion caused by heavy rain
2023/9/1,Reshi,Special Event: Temporary speed limit due to foggy weather
2023/9/1,Pengshan,Special Event: Peak traffic flow after holiday
2023/9/1,Lanshan,Special Event: Peak traffic flow during the National Day holiday
2023/9/1,Hengyang North,Special Event: Traffic accident causing lane closure
2023/9/1,Daozhou South,Special Event: Traffic accident causing lane closure
2023/9/2,Huaihua North,Special Event: Traffic congestion caused by heavy rain
2023/9/2,You County,Special Event: Temporary speed limit due to foggy weather
2023/9/2,Jiaoziya,Special Event: Temporary speed limit due to foggy weather
2023/9/2,Zhuxi,Special Event: Traffic accident causing lane closure
2023/9/2,Yijiang,Special Event: Traffic accident causing lane closure
2023/9/2,Jianjia'ao,Special Event: Traffic accident causing lane closure
2023/9/2,Furong Town,Special Event: Traffic accident causing lane closure
2023/9/3,Jishou East,Special Event: Temporary speed limit due to foggy weather
2023/9/3,Huilongxu,Special Event: Peak traffic flow after holiday
2023/9/3,Changning,Special Event: Traffic control due to road construction
2023/9/3,Jielvqiao,Special Event: Traffic accident causing lane closure
2023/9/3,Yangzichong,Special Event: Equipment maintenance affecting toll station
2023/9/3,Hefu,Special Event: Peak traffic flow after holiday
2023/9/3,Reshi,Special Event: Temporary speed limit due to foggy weather
2023/9/3,Hengdong,Special Event: Peak traffic flow during the National Day holiday
2023/9/4,Cili West,Special Event: Traffic accident causing lane closure
2023/9/4,Songmutang,Special Event: Traffic congestion caused by heavy rain
2023/9/4,Luxi,Special Event: Traffic congestion caused by heavy rain
2023/9/4,Huangtuling,Special Event: Peak traffic flow during the Mid-Autumn Festival holiday
2023/9/4,Hengdong,Special Event: Peak traffic flow during the National Day holiday
2023/9/4,Chijiang Interchange East,Special Event: Traffic control due to road construction
2023/9/4,Jinzhou,Special Event: Peak traffic flow after holiday
2023/9/4,Majitang West,Special Event: Peak traffic flow during the National Day holiday
2023/9/5,Yunlong,Special Event: Traffic congestion caused by heavy rain
2023/9/5,南县西,Special Event: Peak traffic flow during the Mid-Autumn Festival holiday
2023/9/5,Pinghe,Special Event: Peak traffic flow after holiday
2023/9/5,Yongzhou North,Special Event: Traffic accident causing lane closure
2023/9/5,Chaling,Special Event: Peak traffic flow after holiday
2023/9/5,Daozhou East,Special Event: Traffic congestion caused by heavy rain
2023/9/5,Jinqiao,Special Event: Traffic control due to road construction
2023/9/5,Lijiachong,Special Event: Equipment maintenance affecting toll station
2023/9/6,Gugang,Special Event: Equipment maintenance affecting toll station
2023/9/6,Ningyuan,Special Event: Peak traffic flow during the National Day holiday
2023/9/6,Xiaotang,Special Event: Peak traffic flow during the National Day holiday
2023/9/6,Zhangjiajie West,Special Event: Temporary speed limit due to foggy weather
2023/9/6,Jiangkou,Special Event: Temporary speed limit due to foggy weather
2023/9/6,Jiangkou,Special Event: Temporary speed limit due to foggy weather
2023/9/6,Leiyang,Special Event: Peak traffic flow after holiday
2023/9/6,Jingzhou,Special Event: Peak traffic flow during the National Day holiday
2023/9/7,Jishou East,Special Event: Temporary speed limit due to foggy weather
2023/9/7,Langshan,Special Event: Traffic control due to road construction
2023/9/7,Pingjiang,Special Event: Temporary speed limit due to foggy weather
2023/9/7,Kaihui,Special Event: Traffic control due to road construction
2023/9/7,Xinhuang,Special Event: Temporary speed limit due to foggy weather
2023/9/7,Yanling,Special Event: Traffic accident causing lane closure
2023/9/7,Chadong,Special Event: Traffic congestion caused by heavy rain
2023/9/7,Huangsha,Special Event: Peak traffic flow after holiday
2023/9/8,Gugang,Special Event: Traffic accident causing lane closure
2023/9/8,Zhuxi,Special Event: Peak traffic flow during the Mid-Autumn Festival holiday
2023/9/8,Songbai,Special Event: Equipment maintenance affecting toll station
2023/9/8,Langli,Special Event: Peak traffic flow during the National Day holiday
2023/9/8,Dongjing,Special Event: Temporary speed limit due to foggy weather
2023/9/8,Chayuan,Special Event: Equipment maintenance affecting toll station
2023/9/8,Chijiang Interchange East,Special Event: Equipment maintenance affecting toll station
