地名,日期,经度,纬度,2米气温(°C),天气代码(),降雨量(mm),100米风速(m/s)
"湖南省, 中国",2023/9/1 0:00,111.2178802,27.38137054,20,Sunny,0,4.16
"湖南省, 中国",2023/9/1 1:00,111.2178802,27.38137054,19.95,Sunny,0,5.14
"湖南省, 中国",2023/9/1 2:00,111.2178802,27.38137054,19.85,Sunny,0,4.91
"湖南省, 中国",2023/9/1 3:00,111.2178802,27.38137054,19.56,Sunny,0,4.9
"湖南省, 中国",2023/9/1 4:00,111.2178802,27.38137054,19.4,Sunny,0,5.1
"湖南省, 中国",2023/9/1 5:00,111.2178802,27.38137054,19.31,Sunny,0,5.41
"湖南省, 中国",2023/9/1 6:00,111.2178802,27.38137054,19.35,Sunny,0,5.83
"湖南省, 中国",2023/9/1 7:00,111.2178802,27.38137054,20,Sunny,0,5.9
"湖南省, 中国",2023/9/1 8:00,111.2178802,27.38137054,21.6,Sunny,0,4.62
"湖南省, 中国",2023/9/1 9:00,111.2178802,27.38137054,23.15,Sunny,0,5.08
"湖南省, 中国",2023/9/1 10:00,111.2178802,27.38137054,24.5,Sunny,0,5.28
"湖南省, 中国",2023/9/1 11:00,111.2178802,27.38137054,25.56,Sunny,0,5.82
"湖南省, 中国",2023/9/1 12:00,111.2178802,27.38137054,27.35,Sunny,0,6.5
"湖南省, 中国",2023/9/1 13:00,111.2178802,27.38137054,27.85,Cloudy,0,6.31
"湖南省, 中国",2023/9/1 14:00,111.2178802,27.38137054,27.85,Sunny,0,6.77
"湖南省, 中国",2023/9/1 15:00,111.2178802,27.38137054,28.1,Sunny,0,6.39
"湖南省, 中国",2023/9/1 16:00,111.2178802,27.38137054,27.75,Sunny,0,7.13
"湖南省, 中国",2023/9/1 17:00,111.2178802,27.38137054,26.5,Sunny,0,7.76
"湖南省, 中国",2023/9/1 18:00,111.2178802,27.38137054,25.5,Sunny,0,7.32
"湖南省, 中国",2023/9/1 19:00,111.2178802,27.38137054,24.2,Sunny,0,7.5
"湖南省, 中国",2023/9/1 20:00,111.2178802,27.38137054,24.45,Sunny,0,7.31
"湖南省, 中国",2023/9/1 21:00,111.2178802,27.38137054,24.1,Sunny,0,7.53
"湖南省, 中国",2023/9/1 22:00,111.2178802,27.38137054,23.75,Sunny,0,7.4
"湖南省, 中国",2023/9/1 23:00,111.2178802,27.38137054,23.2,Sunny,0,8.04
"湖南省, 中国",2023/9/2 0:00,111.2178802,27.38137054,23,Sunny,0,8.34
"湖南省, 中国",2023/9/2 1:00,111.2178802,27.38137054,22.45,Sunny,0,8.18
"湖南省, 中国",2023/9/2 2:00,111.2178802,27.38137054,22.31,Sunny,0,6.77
"湖南省, 中国",2023/9/2 3:00,111.2178802,27.38137054,21.7,Sunny,0,7.1
"湖南省, 中国",2023/9/2 4:00,111.2178802,27.38137054,21.35,Sunny,0,7.17
"湖南省, 中国",2023/9/2 5:00,111.2178802,27.38137054,20.95,Sunny,0,6.61
