station_id,station_code,station_name
0,G0401L010430121,黄兴
1,G0401L040430121,红旗
2,G0401L050430111,洞井
3,G0401L060430112,星城
4,G0421L020430602,岳阳东
5,G0421L060430112,简家坳
6,G0421L070430302,塔岭
7,G0421L120430422,松柏
8,G0421L130430482,常宁
9,G0421L140431021,流峰
10,G0421L150431021,余田
11,G0421L160431024,嘉禾
12,G0421L170431025,临武
13,G0421L180431022,黄沙
14,G0422L040430181,北盛
15,G0422L050430181,跃龙
16,G0422L060430281,板衫
17,G0422L070430281,黎家冲
18,G0422L080430281,皇图岭
19,G0422L100430224,茶陵
20,G0422L110430225,炎陵西
21,G0422L120431027,八面山
22,G0422L130431026,田庄
23,G0422L140431026,九龙江
24,G4L010430682,羊楼司
25,G4L020430682,桃林
26,G4L030430681,大荆
27,G4L040430121,开慧
28,G4L050430121,杨梓冲
29,G4L070430221,伞铺
30,G4L080430424,新塘
31,G4L090430422,冠市
32,G4L100430481,耒阳
33,G4L125431003,良田
34,G4L130431022,小塘
35,G5513L010430112,金桥
36,G5513L011430112,友仁
37,G5513L012430124,关山
38,G5513L013430124,金洲
39,G5513L016430124,宁乡
40,G5513L018430903,泉交河
41,G5513L019430903,朝阳
42,G5513L020430902,益阳北
43,G5513L030430722,谢家铺
44,G5513L050430725,热市
45,G5513L060430821,慈利西
46,G55L110430523,邵阳县
47,G55L120431103,永州北
48,G55L170431127,蓝山
49,G56L001430682,詹桥
50,G56L007430725,河洑
51,G56L030431222,沅陵
52,G56L040433122,泸溪
53,G56L050433101,吉首东
54,G56L060433101,吉首南
55,G6021L050430121,黄花
56,G60L007430304,株洲北
57,G60L010430321,湘潭
58,G60L020430381,湘乡
59,G60L030431321,娄底
60,G60L040430521,廉桥
61,G60L050430503,邵阳南
62,G60L060430524,隆回
63,G60L070430525,洞口
64,G65L010433124,茶峒
65,G65L020433101,矮寨
66,G65L030433123,凤凰
67,G65L040431202,怀化西
68,G65L050431221,怀化南
69,G65L080431229,靖州
70,G65L100431230,双江
71,G65L110431230,通道
72,G72L002430224,界化垄
73,G72L006430223,攸县
74,G72L008430424,衡东
75,G72L010430422,洪市
76,G72L030431121,大忠桥
77,G72L040431102,枣木铺
78,G76L020431026,岭秀
79,G76L030431022,平和
80,G76L050431024,燕塘
81,G76L060431127,祠堂圩
82,S10L020433127,芙蓉镇西
83,S21L020430204,云龙
84,S41L010430112,栗山塘
85,S50L010430104,赤江互通东
86,S50L040430381,岐山互通东
87,S50L090431224,溆浦
88,S50L110431202,怀化北
89,S50L120431202,朱溪
90,S52L010430281,姚家坝
91,S71L010430623,华容
92,S71L050430903,泥江口
93,S71L060430124,心田
94,S71L090431321,双峰西
95,S81L010431124,道州南
96,S91L020430581,武冈西
97,S99L050433126,芙蓉镇
