观测站编号,观测站名称
G0401L010430121,黄兴
G0401L040430121,红旗
G0401L050430111,洞井
G0401L060430112,星城
G0421L020430602,岳阳东
G0421L060430112,简家坳
G0421L070430302,塔岭
G0421L120430422,松柏
G0421L130430482,常宁
G0421L140431021,流峰
G0421L150431021,余田
G0421L160431024,嘉禾
G0421L170431025,临武
G0421L180431022,黄沙
G0422L040430181,北盛
G0422L050430181,跃龙
G0422L060430281,板衫
G0422L070430281,黎家冲
G0422L080430281,皇图岭
G0422L100430224,茶陵
G0422L110430225,炎陵西
G0422L120431027,八面山
G0422L130431026,田庄
G0422L140431026,九龙江
G4L010430682,羊楼司
G4L020430682,桃林
G4L030430681,大荆
G4L040430121,开慧
G4L050430121,杨梓冲
G4L070430221,伞铺
G4L080430424,新塘
G4L090430422,冠市
G4L100430481,耒阳
G4L125431003,良田
G4L130431022,小塘
G5513L010430112,金桥
G5513L011430112,友仁
G5513L012430124,关山
G5513L013430124,金洲
G5513L016430124,宁乡
G5513L018430903,泉交河
G5513L019430903,朝阳
G5513L020430902,益阳北
G5513L030430722,谢家铺
G5513L050430725,热市
G5513L060430821,慈利西
G55L110430523,邵阳县
G55L120431103,永州北
G55L170431127,蓝山
G56L001430682,詹桥
G56L007430725,河洑
G56L030431222,沅陵
G56L040433122,泸溪
G56L050433101,吉首东
G56L060433101,吉首南
G6021L050430121,黄花
G60L007430304,株洲北
G60L010430321,湘潭
G60L020430381,湘乡
G60L030431321,娄底
G60L040430521,廉桥
G60L050430503,邵阳南
G60L060430524,隆回
G60L070430525,洞口
G65L010433124,茶峒
G65L020433101,矮寨
G65L030433123,凤凰
G65L040431202,怀化西
G65L050431221,怀化南
G65L080431229,靖州
G65L100431230,双江
G65L110431230,通道
G72L002430224,界化垄
G72L006430223,攸县
G72L008430424,衡东
G72L010430422,洪市
G72L030431121,大忠桥
G72L040431102,枣木铺
G76L020431026,岭秀
G76L030431022,平和
G76L050431024,燕塘
G76L060431127,祠堂圩
S10L020433127,芙蓉镇西
S21L020430204,云龙
S41L010430112,栗山塘
S50L010430104,赤江互通东
S50L040430381,岐山互通东
S50L090431224,溆浦
S50L110431202,怀化北
S50L120431202,朱溪
S52L010430281,姚家坝
S71L010430623,华容
S71L050430903,泥江口
S71L060430124,心田
S71L090431321,双峰西
S81L010431124,道州南
S91L020430581,武冈西
S99L050433126,芙蓉镇
